,,,Spring Components,,,Dcover No Jcover fuzz,time(Seconds):,337,Dcover Jcover-fuzz,time(Seconds):,479,Jcover test verification on,time(Seconds):,552
GROUP,PACKAGE,CLASS,@Service,@Controller,Info,LINE_MISSED,LINE_COVERED,Coverage,LINE_MISSED,LINE_COVERED,Coverage,LINE_MISSED,LINE_COVERED,Coverage
easyexcel,com.alibaba.excel.converters.shortconverter,ShortNumberConverter,,,,1,4,0.8,1,4,0.8,1,4,0.8
easyexcel,com.alibaba.excel.read.builder,ExcelReaderSheetBuilder,,,,27,15,0.35714285714285715,27,15,0.35714285714285715,17,25,0.5952380952380952
easyexcel,com.alibaba.excel.read.builder,ExcelReaderBuilder,,,,26,30,0.5357142857142857,26,30,0.5357142857142857,15,41,0.7321428571428571
easyexcel,com.alibaba.excel.write.handler,DefaultWriteHandlerLoader,,,,1,11,0.9166666666666666,1,11,0.9166666666666666,1,11,0.9166666666666666
easyexcel,com.alibaba.excel.write.metadata,WriteSheet,,,,1,14,0.9333333333333333,1,14,0.9333333333333333,1,14,0.9333333333333333
easyexcel,com.alibaba.excel.write.metadata,WriteTable,,,,0,7,1.0,0,7,1.0,0,7,1.0
easyexcel,com.alibaba.excel.write.metadata,WriteBasicParameter,,,,0,26,1.0,0,26,1.0,0,26,1.0
easyexcel,com.alibaba.excel.write.metadata,WriteWorkbook,,,,2,32,0.9411764705882353,2,32,0.9411764705882353,0,34,1.0
easyexcel,com.alibaba.excel.write.property,ExcelWriteHeadProperty,,,,55,3,0.05172413793103448,55,3,0.05172413793103448,11,47,0.8103448275862069
easyexcel,com.alibaba.excel.converters.bigdecimal,BigDecimalNumberConverter,,,,1,4,0.8,1,4,0.8,0,5,1.0
easyexcel,com.alibaba.excel.converters.bigdecimal,BigDecimalStringConverter,,,,2,3,0.6,2,3,0.6,1,4,0.8
easyexcel,com.alibaba.excel.converters.bigdecimal,BigDecimalBooleanConverter,,,,4,5,0.5555555555555556,4,5,0.5555555555555556,3,6,0.6666666666666666
